panel,x_label,walk_fail,walk_success,jump_fail,jump_success,is_key_head
layer_cosine,L0,0.000986415892839431,0.000986415892839431,0.074104174971580500,0.074104174971580500,
layer_cosine,L1,0.003559296132200746,0.001681456377910864,0.043366570271847000,0.047907653316441506,
layer_cosine,L2,0.029443378736662970,0.019082503752239670,0.035626941081546740,0.038866812621967660,
layer_cosine,L3,0.079043883255924940,0.069271114215047820,0.059186937078209960,0.056362073364046715,
layer_cosine,L4,0.133377198047837500,0.114492321956074900,0.110278581371653970,0.112732370590998070,
layer_cosine,L5,0.230477677567939940,0.130988463966382860,0.132222464464404680,0.201129189873528150,
layer_cosine,L6,0.024331904951860460,-0.001757929127456413,-0.004778613644089993,0.008060356110541357,
top5_heads,L4H6,0.14511807063914475,,,,1
top5_heads,L5H2,0.11599436998859639,,,,0
top5_heads,L5H5,0.10764106874259821,,,,1
top5_heads,L4H3,0.09288864647679808,,,,0
top5_heads,L3H6,0.08580636713317379,,,,0
